id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,secondary_moods,language,explicit
26,Iron Motion,CrimsonMachine,classical,energetic,0.52,84,0.26,0.40,0.10,72,1990s,warm|bittersweet,english,false
27,Golden Motion,IndigoWave,classical,chill,1.00,88,0.24,0.34,0.86,85,2010s,playful|bittersweet,portuguese,false
28,City Parade,CrimsonTheory,classical,melancholy,0.31,51,0.34,0.44,0.39,54,1990s,introspective|bittersweet,portuguese,false
29,Midnight Dreams,PixelSignal,country,intense,0.44,89,0.32,0.31,1.00,82,1980s,playful|dreamy,japanese,false
30,Iron Reverie,AmberGarden,latin,chill,0.05,127,0.15,0.40,0.17,68,1980s,uplifting|cozy,german,false
31,Summer Horizon,NovaSociety,pop,angry,0.55,168,0.07,0.65,0.00,3,2010s,dark|fierce,german,false
32,Paper Motion,VoltParade,country,romantic,0.56,52,0.43,0.89,0.18,56,2000s,focused|playful,japanese,false
33,Rooftop Reverie,NeonUnion,rock,sad,0.44,121,0.56,0.75,0.24,74,1970s,introspective|bittersweet,german,false
34,Ocean Static,NeonDrift,classical,hopeful,0.78,111,0.51,0.16,0.70,48,2020s,bright|dreamy,hindi,false
35,City Lights,LoRiders,edm,melancholy,0.47,53,1.00,0.28,0.00,45,2010s,uplifting|focused,german,false
36,Midnight Fire,Glassline,classical,energetic,0.60,135,0.52,0.36,0.41,17,1990s,focused|tender,english,false
37,Glass Fire,NovaSignal,indie,happy,0.57,50,0.52,0.59,0.49,63,2020s,cozy|introspective,hindi,false
38,Amber Hymn,GlassLanterns,metal,chill,0.58,92,0.38,0.79,0.75,43,2000s,wistful|introspective,spanish,false
39,Ocean Static Library,GoldenMachine,reggae,romantic,0.75,77,1.00,0.95,0.46,36,2000s,triumphant|focused,portuguese,true
40,Rooftop Road,CosmicHouse,folk,hopeful,0.48,79,0.43,0.03,0.33,91,2010s,tender|fierce,german,false
41,Iron Road,CosmicRiders,latin,chill,0.50,142,0.50,0.29,0.27,39,2000s,dark|gritty,hindi,false
42,Desert Horizon,Neonline,kpop,peaceful,0.49,87,1.00,0.58,0.81,71,2000s,bright|dreamy,hindi,false
43,Silent Sky,EchoHouse,jazz,sad,0.40,122,0.38,0.39,0.14,48,2020s,bright|dark,portuguese,false
44,Golden Dreams,Velvet7,lofi,sad,0.39,155,0.86,0.46,0.58,85,1990s,moody|playful,spanish,false
45,Desert Static,ShadowSound,jazz,happy,0.52,94,0.58,0.57,0.21,100,2020s,tender|cozy,english,false
46,Golden Runner,LunarCircuit,rock,happy,0.54,169,0.57,0.60,0.01,56,2020s,warm|aggressive,korean,false
47,Broken Hymn,CrimsonRiders,metal,peaceful,0.60,89,0.23,0.52,0.00,68,2000s,playful|warm,spanish,false
48,Distant Horizon,VoltHouse,folk,chill,0.64,125,0.52,0.56,0.02,63,1990s,warm|dreamy,french,false
49,Velvet Sky,StaticUnion,kpop,romantic,0.63,69,0.19,0.15,0.06,66,2020s,aggressive|nostalgic,korean,true
50,Hollow Road,GlassUnion,kpop,romantic,0.29,122,0.42,0.74,0.35,79,2000s,focused|warm,german,false
51,Ocean Hymn,Pixelline,metal,happy,0.92,109,0.49,0.61,0.41,32,2020s,fierce|nostalgic,korean,false
52,Silent Nights,PaperDrift,country,energetic,0.37,124,0.62,0.62,0.10,67,2020s,wistful|warm,hindi,false
53,Summer Echo,PixelLanterns,latin,angry,0.56,108,0.69,0.39,0.74,63,2010s,tender|fierce,english,false
54,Distant Sky,AmberRiders,pop,peaceful,0.67,65,0.48,0.58,0.22,62,1970s,fierce|cozy,korean,false
55,Iron Bloom,EchoEcho,classical,hopeful,0.74,107,0.27,0.49,0.72,43,1980s,focused|nostalgic,german,false
56,Frozen Heart,IronHouse,jazz,romantic,0.72,76,0.23,0.21,0.07,62,1990s,bright|wistful,hindi,false
57,Rooftop Nights,PaperGarden,latin,melancholy,0.95,123,0.37,0.20,0.07,74,2020s,aggressive|tender,english,false
58,Frozen Parade,LunarDrift,lofi,angry,0.59,107,0.81,0.87,0.52,53,1990s,dark|wistful,spanish,false
59,Distant Rain,Shadow7,edm,hopeful,0.60,104,0.82,0.67,1.00,22,2020s,focused|bittersweet,spanish,false
60,Hollow Waves,StaticHouse,reggae,romantic,0.61,104,0.56,0.39,0.28,62,2010s,bittersweet|gritty,korean,false
61,Crystal Drift,SilverCircuit,country,peaceful,0.72,136,0.50,0.70,0.94,57,1990s,bright|gritty,spanish,false
62,Faded Waves,SolarRoom,reggae,romantic,0.35,116,0.99,0.55,0.63,67,1990s,playful|bright,english,false
63,Rising Hymn,LoCollective,kpop,peaceful,0.54,53,0.85,0.35,0.47,90,1980s,introspective|nostalgic,korean,false
64,Silent Static,SilverSound,indie,hopeful,0.78,115,0.87,0.87,0.26,73,1980s,aggressive|triumphant,french,false
65,Sunrise Road,LunarLanterns,indie,chill,0.45,112,0.50,0.41,0.20,28,2000s,bright|triumphant,spanish,false
66,Electric Hymn,VoltGarden,country,energetic,0.38,70,0.10,0.36,0.53,51,1980s,tender|uplifting,portuguese,false
67,Faded Pulse,SolarParade,kpop,romantic,0.48,97,0.57,0.57,0.55,54,1980s,bright|aggressive,german,false
68,Library Parade,VelvetProject,kpop,melancholy,0.28,63,0.06,0.24,0.31,85,1980s,fierce|bright,japanese,false
69,Neon Drift,Crimsonline,kpop,energetic,0.74,118,1.00,0.45,0.46,47,1980s,uplifting|warm,portuguese,false
70,Iron Lights,PaperEcho,latin,angry,0.60,130,0.65,0.42,0.79,89,1970s,nostalgic|aggressive,korean,false
71,Glass Fire Winter,SolarLanterns,rock,happy,0.27,151,0.46,0.53,0.38,65,2000s,moody|cozy,spanish,false
72,Ocean Parade,PaperSociety,country,angry,0.61,150,0.42,0.12,0.26,40,2020s,uplifting|warm,hindi,false
73,Hollow Streets,PaperLanterns,reggae,hopeful,0.64,115,0.43,0.50,0.33,82,2010s,dark|wistful,french,false
74,Silent Fire,IndigoSociety,latin,angry,0.52,89,0.33,0.59,0.23,73,2000s,cozy|dark,german,false
75,Frozen Parade Glass,GoldenRoom,lofi,chill,0.60,98,0.84,0.74,0.54,31,2010s,bright|dark,spanish,false
76,Rooftop Dreams,GoldenProject,jazz,peaceful,0.51,122,0.36,0.54,0.00,59,1990s,bright|triumphant,spanish,false
77,Velvet Echo,SolarDrift,indie,peaceful,0.28,81,1.00,0.63,0.51,41,1980s,nostalgic|playful,portuguese,false
78,Rooftop Signal,VoltRoom,lofi,intense,0.51,50,0.76,0.68,0.17,70,1980s,triumphant|playful,portuguese,false
79,Library Sky,SolarSociety,rock,intense,0.55,100,0.74,0.66,0.04,67,2000s,nostalgic|introspective,spanish,false
80,Desert Pulse,Golden7,rnb,romantic,0.79,118,0.47,0.54,0.33,68,1980s,nostalgic|playful,portuguese,false
81,Storm Nights,SolarCircuit,rock,melancholy,0.37,105,0.15,0.44,0.22,70,2020s,warm|bittersweet,english,false
82,Library Dreams,GoldenUnion,metal,melancholy,0.48,79,0.54,0.58,0.16,87,2010s,fierce|triumphant,spanish,false
83,Crystal Fire,IndigoHouse,classical,angry,1.00,138,0.50,0.41,0.42,47,2020s,cozy|moody,japanese,false
84,Rising Drift,StaticSound,lofi,intense,0.54,128,0.74,0.83,1.00,77,2020s,tender|fierce,hindi,false
85,Midnight Fire Amber,Silverline,latin,energetic,0.60,119,0.30,0.61,0.38,61,2010s,focused|playful,hindi,false
86,Midnight Horizon,PaperSound,folk,chill,0.33,86,0.19,0.61,0.57,13,2000s,introspective|dark,hindi,false
87,Glass Nights Faded,StaticRoom,reggae,chill,0.40,109,0.50,0.76,0.06,64,1980s,triumphant|bright,french,false
88,Neon Fire,SilverDrift,indie,energetic,0.65,115,0.41,0.40,0.33,26,2010s,aggressive|dark,spanish,false
89,Sunrise Fire,Silver7,rock,peaceful,0.52,97,0.17,0.45,0.33,64,2020s,moody|focused,german,false
90,Rising Signal,IndigoSignal,hiphop,energetic,0.82,98,0.52,0.66,0.91,72,1970s,moody|bright,english,false
91,Glass Pulse,LunarHouse,classical,intense,0.80,158,0.56,0.19,0.56,73,2000s,triumphant|dreamy,hindi,false
92,Amber Heart,StaticParade,jazz,hopeful,0.69,98,0.36,0.32,0.00,67,2000s,moody|bright,german,false
93,Rising Bloom,IndigoCircuit,latin,romantic,0.82,121,0.10,0.89,0.31,31,1970s,playful|focused,korean,false
94,Falling Rain,CosmicParade,lofi,sad,0.76,53,0.73,0.46,0.17,66,2000s,focused|triumphant,japanese,true
95,Neon Motion,StaticTheory,rock,happy,0.44,164,0.45,0.45,0.31,34,1970s,focused|uplifting,french,false
96,Rooftop Dreams Distant,IndigoCollective,classical,chill,0.58,88,0.63,0.65,0.13,33,1970s,cozy|tender,english,false
97,Desert Coding,IronMachine,classical,happy,0.41,95,0.18,0.70,1.00,82,1970s,moody|bright,english,false
98,Amber Hymn Velvet,ShadowSociety,jazz,happy,0.49,118,0.52,0.84,0.72,71,1990s,aggressive|warm,portuguese,false
99,Amber Motion,PixelRiders,folk,intense,0.58,99,0.55,0.33,0.38,60,1980s,warm|dark,french,false
100,Velvet Static,PixelMachine,pop,sad,0.44,168,0.85,0.64,0.32,90,2000s,wistful|fierce,german,false
101,Golden Sky,ShadowSignal,kpop,angry,0.54,122,0.26,0.65,0.59,54,1990s,dark|cozy,spanish,false
102,Shadow Fire,Amber7,reggae,melancholy,0.69,138,0.12,0.66,0.75,40,2000s,nostalgic|warm,spanish,false
103,Crystal Fire City,VoltUnion,pop,intense,0.77,73,0.38,0.59,0.44,83,1990s,wistful|warm,korean,false
104,Distant Horizon Broken,StaticCollective,rock,angry,0.40,129,0.39,1.00,0.59,57,2010s,wistful|cozy,french,false
105,Golden Sky Frozen,Nova7,reggae,hopeful,0.59,125,0.64,0.61,0.16,1,2020s,dark|triumphant,spanish,false
106,Storm Runner,PixelTheory,indie,energetic,0.42,109,0.54,0.65,0.42,50,2010s,triumphant|fierce,korean,false
107,Falling Coding,PaperTheory,classical,melancholy,0.59,99,0.85,0.50,0.00,64,1990s,aggressive|gritty,korean,false
108,Golden Signal,Lunarline,rock,romantic,0.66,132,0.44,0.37,0.99,39,1970s,nostalgic|introspective,french,false
109,Wild Drift,EchoWave,rnb,intense,0.27,88,0.67,0.80,0.62,44,2010s,warm|uplifting,spanish,true
110,Distant Coding,NovaGarden,indie,peaceful,0.24,131,0.15,0.55,0.21,100,2000s,dreamy|wistful,french,false
111,Library Nights,GlassGarden,classical,hopeful,0.33,116,0.81,0.86,0.02,100,1990s,wistful|aggressive,portuguese,false
112,Desert Bloom,SilverSociety,lofi,romantic,0.42,115,1.00,0.70,0.61,39,1980s,dark|bright,japanese,false
113,Ocean Echo,EchoMachine,pop,chill,0.83,97,0.67,0.52,0.34,60,2000s,tender|playful,english,false
114,Library Waves,VelvetSound,indie,melancholy,0.38,132,0.35,0.49,0.29,52,2010s,fierce|nostalgic,spanish,false
115,Rising Bloom Neon,CosmicSignal,rnb,energetic,0.56,90,0.21,0.54,0.56,58,1990s,tender|moody,hindi,false
116,Faded Rain,SilverEcho,edm,intense,0.28,135,0.68,0.33,0.04,53,2000s,playful|tender,english,false
117,Faded Dreams,LoUnion,metal,hopeful,0.51,153,0.82,0.50,0.41,61,2000s,gritty|moody,german,false
118,Summer Nights,LunarSound,reggae,chill,0.65,140,0.27,0.65,0.50,77,2010s,tender|warm,korean,false
119,Golden Sky Distant,CrimsonSociety,rnb,energetic,0.32,56,0.31,0.22,0.37,77,1980s,nostalgic|playful,japanese,false
120,Golden Reverie,VoltMachine,edm,hopeful,0.21,166,0.56,0.40,0.72,75,2000s,wistful|triumphant,korean,false
121,Faded Bloom,GlassHouse,kpop,hopeful,0.32,68,0.61,0.92,0.35,80,1990s,aggressive|cozy,japanese,false
122,Glass Sky,CosmicCollective,pop,chill,0.21,134,0.85,0.75,0.78,55,1980s,bittersweet|tender,hindi,false
123,Shadow Static,NovaCollective,folk,happy,0.64,102,0.22,0.44,0.28,8,1980s,bittersweet|gritty,english,false
124,City Road,CrimsonLanterns,kpop,happy,0.87,112,1.00,0.91,0.21,100,2010s,moody|tender,korean,false
125,Winter Nights,Paper7,edm,intense,0.51,66,0.49,0.52,0.27,69,2020s,introspective|gritty,german,false
126,Midnight Parade,IronTheory,rock,hopeful,0.47,130,0.49,0.70,0.42,5,1990s,uplifting|nostalgic,portuguese,false
127,Summer Static,LunarWave,kpop,romantic,0.42,70,0.72,0.48,0.54,100,2000s,aggressive|fierce,portuguese,false
128,Neon Lights,CosmicTheory,indie,sad,0.41,73,0.57,0.31,0.12,51,2010s,cozy|warm,japanese,false
129,Summer Horizon Faded,NeonWave,country,chill,0.38,66,0.00,0.58,0.30,57,1980s,moody|bittersweet,hindi,false
130,Neon Hymn,IronGarden,metal,chill,0.77,117,1.00,0.80,0.50,51,2000s,warm|playful,german,false
131,Electric City,NeonCollective,latin,melancholy,0.28,142,0.34,0.34,0.24,39,1980s,bright|wistful,korean,false
132,Falling City,GlassWave,country,angry,0.33,123,0.54,0.77,0.51,65,2020s,cozy|warm,german,false
133,Golden Dreams Amber,SolarSound,lofi,chill,0.32,91,0.26,0.19,0.40,61,2000s,dreamy|introspective,english,false
134,Rooftop Pulse,NovaCircuit,metal,peaceful,0.62,55,0.54,0.96,0.76,52,2000s,playful|nostalgic,english,false
135,Summer Static Electric,GlassCollective,rnb,hopeful,0.77,118,0.35,0.40,0.00,50,2000s,aggressive|playful,german,false
136,Falling Horizon,Velvetline,latin,intense,0.74,50,0.00,0.35,0.25,51,1980s,nostalgic|introspective,portuguese,false
137,Falling Nights,CrimsonWave,rnb,sad,0.78,119,0.44,0.52,0.89,70,2010s,bright|introspective,hindi,false
138,Summer Hymn,VelvetCollective,reggae,chill,0.54,59,0.83,0.39,0.31,35,1980s,bright|dark,french,false
139,Frozen Dreams,IndigoEcho,jazz,energetic,0.26,107,1.00,0.88,0.00,62,1980s,triumphant|dark,german,true
140,Desert Pulse Wild,PixelGarden,jazz,angry,0.85,94,0.38,0.61,0.26,72,1980s,tender|dark,french,false
141,Faded Coding,NeonCircuit,rock,energetic,0.74,151,0.00,0.58,0.00,47,1970s,moody|warm,spanish,false
142,Summer Streets,NeonEcho,rock,sad,0.68,117,0.55,0.77,0.80,65,2010s,tender|bright,english,true
143,Hollow Bloom,EchoDrift,rnb,romantic,0.35,104,0.11,0.55,0.00,75,1980s,cozy|bright,korean,false
144,Summer Static Midnight,Neon7,lofi,energetic,0.82,101,0.52,0.86,0.23,90,1970s,warm|focused,german,false
145,Falling Runner,EchoProject,lofi,hopeful,0.75,74,0.16,1.00,1.00,48,1970s,dreamy|introspective,hindi,false
146,Rooftop Waves,IronParade,metal,happy,0.76,162,0.67,0.56,0.74,84,2000s,focused|playful,korean,false
147,Iron Horizon,PixelHouse,indie,chill,0.00,109,0.75,0.62,0.54,39,2010s,wistful|dark,english,false
148,Distant Hymn,IndigoDrift,edm,angry,0.80,98,0.34,0.28,0.76,69,1980s,focused|bright,french,false
149,Storm Fire,StaticSignal,edm,energetic,0.57,111,0.42,0.73,0.38,65,1980s,bittersweet|fierce,german,false
150,Silent Sky Silent,PixelParade,indie,energetic,0.58,106,0.13,0.73,0.34,29,1980s,moody|gritty,german,false
151,Golden City,StaticDrift,lofi,intense,0.31,122,0.40,0.56,0.40,70,2020s,tender|introspective,hindi,false
152,Shadow Nights,SolarHouse,indie,energetic,0.30,121,0.66,0.29,0.19,45,2010s,introspective|tender,portuguese,false
153,Broken Horizon,GoldenSociety,edm,melancholy,0.47,161,0.12,0.90,0.72,100,1980s,bright|uplifting,hindi,false
154,Iron Fire,LunarSignal,rock,romantic,0.57,153,0.40,0.21,1.00,82,2000s,wistful|moody,german,false
155,Library Road,GlassTheory,folk,chill,0.70,124,0.42,0.45,0.11,38,2020s,wistful|dark,german,false
156,Desert Rain,VoltLanterns,reggae,angry,0.19,93,0.54,0.74,0.00,61,2020s,moody|aggressive,portuguese,false
157,Iron Reverie Library,NeonSound,latin,intense,0.42,132,0.56,0.31,0.32,62,2020s,fierce|dark,spanish,false
158,Wild Lights,IronEcho,folk,chill,0.48,93,0.69,0.53,0.48,65,2010s,bittersweet|fierce,japanese,false
159,Broken Horizon Library,EchoSociety,reggae,peaceful,0.75,88,0.48,0.56,0.45,70,2020s,focused|cozy,korean,false
160,Electric Sky,VelvetParade,rnb,energetic,0.27,86,0.30,0.45,0.63,32,2020s,playful|focused,korean,false
161,Velvet Nights,NeonSociety,rnb,melancholy,0.43,118,0.38,0.64,0.10,31,2020s,gritty|bright,hindi,false
162,Iron Dreams,SilverRoom,rock,sad,0.81,50,0.21,0.54,0.28,35,2000s,tender|gritty,spanish,false
163,Glass Coding,CrimsonCircuit,jazz,sad,0.40,105,0.10,0.64,0.44,29,1970s,cozy|nostalgic,portuguese,false
164,Hollow Hymn,EchoSignal,lofi,sad,0.27,200,0.28,0.61,0.53,35,1970s,dreamy|introspective,portuguese,false
165,Silent Hymn,GlassParade,rnb,intense,0.38,151,0.45,0.70,0.95,9,2020s,cozy|aggressive,german,false
166,Rising Runner,CosmicUnion,reggae,energetic,0.75,65,0.37,0.34,0.19,47,2000s,wistful|fierce,spanish,false
167,Amber Sky,CosmicProject,pop,chill,0.52,77,0.38,0.39,0.74,64,1980s,bittersweet|introspective,hindi,false
168,Sunrise Streets,CrimsonParade,metal,intense,0.29,96,0.29,0.80,0.53,57,2000s,uplifting|cozy,korean,false
169,Burning Reverie,GlassCircuit,kpop,romantic,0.86,168,0.45,0.84,0.40,74,2020s,gritty|warm,german,false
170,Ocean Reverie,Ironline,folk,chill,0.55,108,0.37,0.57,0.47,84,1970s,uplifting|dark,spanish,false
171,Velvet Horizon Crystal,GoldenSignal,reggae,chill,0.74,127,0.43,0.74,0.64,17,2020s,aggressive|focused,english,false
172,Storm Dreams,SilverWave,folk,hopeful,0.62,100,0.84,0.75,0.15,44,2000s,dark|aggressive,japanese,false
173,Hollow Runner,AmberEcho,rnb,peaceful,0.14,107,0.48,0.61,1.00,25,2000s,wistful|cozy,japanese,false
174,Midnight Coding,SilverTheory,edm,energetic,0.89,153,0.28,0.47,0.19,24,1970s,uplifting|focused,english,false
175,Shadow Drift,VoltCollective,indie,melancholy,0.33,124,0.30,0.36,0.47,61,1970s,moody|introspective,korean,false
176,Distant Echo,AmberTheory,reggae,melancholy,0.49,52,0.60,0.58,0.10,63,2010s,warm|playful,korean,false
177,Silent Reverie,Solarline,indie,romantic,0.61,123,0.54,0.39,0.79,32,1970s,dark|bittersweet,french,false
178,Frozen City,GlassRoom,country,hopeful,0.47,109,0.60,0.46,0.68,83,2010s,cozy|dreamy,english,true
179,Falling Pulse,VelvetLanterns,country,energetic,0.44,121,0.95,0.38,0.00,40,2020s,bittersweet|dreamy,portuguese,false
180,Sunrise Fire Broken,SilverUnion,rnb,happy,0.74,158,1.00,0.49,0.70,64,1990s,playful|dark,spanish,false
181,Ocean City,GlassProject,indie,romantic,0.54,87,0.05,0.94,0.92,54,2020s,bright|dreamy,korean,true
182,Neon Reverie,Echoline,edm,happy,0.56,109,0.23,0.23,0.38,45,2010s,dreamy|bittersweet,hindi,false
183,Rooftop Coding,GoldenParade,pop,sad,0.79,88,0.43,0.37,0.52,53,1970s,moody|aggressive,german,true
184,Glass Drift,PaperParade,hiphop,romantic,0.53,136,0.62,0.26,0.38,37,1990s,dreamy|focused,japanese,false
185,Faded Sky,CrimsonSound,lofi,intense,0.34,118,0.67,0.68,0.44,33,2000s,nostalgic|cozy,spanish,false
186,Summer Dreams,SolarRiders,rock,chill,0.39,50,0.44,0.59,0.23,90,1980s,uplifting|wistful,hindi,false
187,Falling Drift,GoldenDrift,kpop,chill,0.64,111,0.72,0.43,0.85,86,1990s,cozy|warm,hindi,true
188,Rising Motion,PixelRoom,country,happy,0.35,131,0.17,0.90,0.35,76,1980s,warm|dreamy,french,false
189,Iron Static,VelvetUnion,lofi,romantic,0.36,130,0.22,0.27,0.41,100,2010s,uplifting|wistful,portuguese,false
190,Electric Lights,PaperHouse,rnb,energetic,0.43,122,0.43,0.68,0.81,33,1970s,tender|moody,portuguese,false
191,Paper Pulse,NeonMachine,folk,sad,0.50,164,0.57,0.52,0.61,54,2000s,triumphant|gritty,korean,false
192,Hollow Dreams,NeonTheory,metal,peaceful,0.93,166,0.74,0.24,0.77,50,1980s,tender|warm,spanish,true
193,Falling Echo,VelvetDrift,country,happy,0.38,146,0.58,0.38,0.64,87,1990s,warm|uplifting,korean,false
194,Rooftop Lights,IronCollective,metal,chill,0.44,132,0.90,0.50,0.00,66,2000s,dark|gritty,portuguese,false
195,Hollow Dreams Wild,Cosmicline,reggae,romantic,0.83,144,1.00,0.40,0.00,95,2010s,warm|gritty,portuguese,false
196,Distant Runner Crystal,EchoLanterns,hiphop,energetic,0.70,107,0.58,0.49,0.29,27,1990s,fierce|uplifting,french,false
197,Iron Drift,Glass7,reggae,happy,0.81,119,0.37,0.61,0.00,76,1990s,bright|wistful,spanish,false
198,Hollow Static,LoLanterns,country,chill,0.57,102,0.69,0.57,0.62,66,2000s,gritty|focused,spanish,false
199,Summer Static Neon,StaticSociety,edm,sad,0.80,105,0.00,0.40,0.00,47,1990s,dreamy|cozy,english,false
200,Summer Waves,NovaMachine,hiphop,chill,0.70,112,0.47,0.63,0.54,40,2000s,tender|bright,french,false
201,Iron Motion Ocean,PixelUnion,kpop,melancholy,0.36,133,0.48,0.77,0.44,70,1970s,aggressive|cozy,spanish,false
202,Velvet Heart,LoCircuit,kpop,sad,0.45,111,0.82,0.37,0.00,54,2010s,aggressive|cozy,hindi,false
203,Frozen Road,SolarTheory,lofi,melancholy,0.69,163,0.70,0.77,0.19,84,1970s,focused|wistful,german,false
204,Silent Waves,LoDrift,indie,melancholy,0.66,121,0.20,0.44,0.53,52,1970s,cozy|playful,portuguese,false
205,Faded Rain Frozen,VoltWave,kpop,energetic,0.52,101,0.30,0.57,0.21,68,1990s,playful|nostalgic,hindi,false
206,Frozen Bloom,SolarEcho,country,sad,0.77,94,0.20,0.57,0.33,59,1980s,focused|playful,german,false
207,Wild Rain,NeonHouse,rock,sad,0.67,95,0.56,0.57,0.67,60,1980s,nostalgic|triumphant,hindi,false
208,Velvet Drift,CrimsonHouse,edm,hopeful,0.42,99,0.73,0.36,0.29,64,1990s,focused|playful,english,false
209,Sunrise Dreams,SilverRiders,folk,sad,0.46,88,0.46,0.57,0.50,21,1970s,tender|aggressive,korean,false
210,Hollow Signal,SilverCollective,classical,melancholy,0.72,83,0.54,0.72,0.00,51,2010s,cozy|uplifting,portuguese,false
211,Electric Coding,IronRoom,folk,chill,0.33,113,0.46,0.72,0.33,83,2020s,playful|introspective,korean,false
212,Amber Parade,Lunar7,metal,peaceful,0.64,84,0.41,0.25,0.18,37,2020s,triumphant|moody,french,false
213,Frozen Sky,GoldenSound,jazz,chill,0.15,119,0.45,0.30,1.00,29,1990s,focused|dreamy,portuguese,false
214,Frozen Parade Shadow,AmberCollective,edm,romantic,0.31,92,0.56,0.59,0.14,35,2010s,focused|tender,japanese,false
215,Desert Nights,NovaSound,classical,happy,0.65,97,0.73,0.54,1.00,51,2000s,aggressive|dark,korean,false
216,Desert Waves,NeonRoom,folk,happy,0.75,110,0.51,0.43,0.43,31,1970s,aggressive|bittersweet,german,false
217,Library Waves Winter,SolarCollective,rnb,sad,0.48,50,0.83,0.34,0.34,54,1970s,dreamy|bright,portuguese,false
218,Broken Lights,PaperMachine,rock,chill,0.64,87,0.40,0.86,0.18,44,2020s,aggressive|dark,hindi,false
219,Shadow Rain,CrimsonEcho,reggae,happy,0.30,140,0.55,0.27,0.32,51,1970s,uplifting|warm,spanish,false
220,Library Static,CrimsonSignal,jazz,melancholy,0.36,72,0.46,0.82,0.77,83,1970s,moody|cozy,french,false
221,Faded Runner,ShadowCollective,hiphop,romantic,0.88,50,0.34,0.71,0.60,76,1980s,tender|dark,japanese,true
222,Neon Parade,VelvetGarden,jazz,hopeful,0.99,127,0.84,0.27,0.11,78,2000s,cozy|bright,english,true
223,Iron Lights Library,IndigoRoom,metal,romantic,0.63,100,0.56,0.43,0.00,84,1990s,wistful|tender,german,false
224,Library Streets,ShadowRoom,latin,intense,0.99,150,0.18,0.58,0.02,65,1990s,uplifting|aggressive,hindi,false
225,Burning Dreams,LoEcho,lofi,romantic,0.53,106,0.71,0.37,0.38,22,1980s,dark|moody,spanish,false
226,Shadow Waves,ShadowGarden,folk,intense,0.27,108,0.35,0.55,0.40,37,1990s,nostalgic|warm,japanese,false
227,Sunrise Runner,VelvetRoom,indie,peaceful,0.08,128,0.38,0.58,0.00,55,1970s,wistful|bittersweet,english,false
